patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Phúc Đặng,246765951177,18/07/1945,0733355613,johntran@example.net,"338 Nhật Đức Hoàng xã JaneThành phố, 895667",Khỏe mạnh,3.95,Bà Mai Bùi,21/01/2026
1a2a73ed-562b-4f79-8374-59eef50bea63,Châu Hữu Bùi,317581331836,25/07/1961,0345370870,johnduong@example.net,"849 Bà Hương Nguyễn Làng
Thành phố JohnHuyện, 183667",Tiểu đường,4.57,Phúc Dương,01/03/2026
5ec42e08-29a3-42e9-9d65-a441d58842de,Bà Lan Phạm,692892770808,29/10/1979,0562093684,john64@example.net,"5 Quý cô Hải BùiJaneHuyện, 169403",Tiểu đường,5.73,Hạnh Đức Trần,21/02/2026
24933b83-7577-40a9-a491-f0b2ea1fca65,Xuân Đặng,120223378625,29/09/1989,0757868352,edang@example.net,"7 Lâm Mai Lê JaneXã, 166613",Huyết áp cao,5.56,Anh Nhiên Hoàng,02/02/2026
02f06b90-f143-462f-9c5c-0eed8da0365b,Bà An Vũ,471987698152,05/03/1990,0584291984,idang@example.net,"2 Huy Đặng JohnXã, 916449",Tiểu đường,4.59,Linh Phạm,06/03/2026
e0f3eab0-5cec-4eb5-add9-68311ca35cfb,Bảo Phạm,621621625685,10/12/1952,0799550246,johntran@example.net,"Quận JaneXã
89 Quý cô Hương Trần, 847581",Tim mạch,11.98,Hải Mai,27/02/2026
3f76be1d-1efa-4197-b394-988f847fd9b4,Hương Dương,532428042046,22/04/1978,0758149531,rtran@example.com,"105 Cô Bảo Phạm, 238739",Tiểu đường,3.51,Kim Quang Phạm,25/01/2026
5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,An Phú Trần,662413935013,07/07/1984,0945358153,dangjohn@example.com,"338 Bà Vi Trần Số
Huyện JaneQuận, 179046",Tim mạch,7.17,Nam Bảo Trần,20/04/2026
c0e9ab30-ed26-42e9-97e0-11b7f8102383,Bà Nhật Đặng,323494038316,01/07/1970,0901320230,johnduong@example.net,"74 Bà Hải Dương Dãy
Quận JaneQuận, 161324",Tim mạch,6.77,Bác Trọng Lê,08/01/2026
eb5cf467-80ba-4d64-ba0e-cfea958ca9ba,Hà Phú Bùi,315310175644,05/07/1997,0787367817,jane79@example.net,"939 Quý ông Huy Hoàng, 802258",Huyết áp cao,11.08,Anh Trọng Lê,18/01/2026
50f0fd0a-750c-4b75-8ccc-9bc2a53f8a28,Chị Hương Dương,607765804335,14/09/1980,0838632838,buijohn@example.net,"354 Anh Thành Lê
Huyện JohnQuận, 377312",Huyết áp cao,7.58,Quang Phú Vũ,21/01/2026
b7b56ea7-35eb-432d-9ad6-20ab48212ddb,Ông Khoa Bùi,608957994557,09/01/1971,0356842581,tdang@example.net,"427 Khoa Nguyễn Đường
Thành phố JohnXã, 137778",Khỏe mạnh,7.64,Cô Thành Bùi,17/01/2026
eededb07-e623-4689-9d59-cd2a4eea04e7,Quý cô Hà Đặng,620534713274,11/09/1950,0994145506,ole@example.org,"2 Phương Đặng, 872343",Tim mạch,8.11,Kim Hải Nguyễn,21/01/2026
df465290-61ee-411a-9bac-27a7b386f7a4,Thành Nguyễn,158937120820,06/08/1951,0512403632,cbui@example.org,"54 Vi Bùi phố, 220944",Khỏe mạnh,4.97,Nhiên Đức Hoàng,07/05/2026
