"patient_id","ho_ten","cccd","ngay_sinh","so_dien_thoai","email","dia_chi","benh","ket_qua_xet_nghiem","bac_si_phu_trach","ngay_kham"
"bdd640fb-0667-4ad1-9c80-317fa3b1799d","Quang Phạm","097987471036","18/07/1945","0334080469","maijohn@example.net","338 John Số
Thị xã JaneThành phố, 895667","Khỏe mạnh","3.95","Quý cô Thành Vũ","21/01/2026"
"1a2a73ed-562b-4f79-8374-59eef50bea63","Kim Trần","785748959692","25/07/1961","0368653800","jane07@example.net","849 Hoàng Làng
Thành phố JohnHuyện, 183667","Tiểu đường","4.57","Cô Hồng Vũ","01/03/2026"
"5ec42e08-29a3-42e9-9d65-a441d58842de","Trung Đức Trần","110952489020","29/10/1979","0787708343","johnle@example.com","5 John Đường
JaneHuyện, 169403","Tiểu đường","5.73","Bà Mai Dương","21/02/2026"
"24933b83-7577-40a9-a491-f0b2ea1fca65","Hoàng Phạm","225319688976","29/09/1989","0715705447","jane96@example.com","7 John Ngõ
Quận JaneXã, 166613","Huyết áp cao","5.56","Kim Mai Mai","02/02/2026"
"02f06b90-f143-462f-9c5c-0eed8da0365b","Hải Mai","223160020573","05/03/1990","0882486483","john46@example.org","2 Jane Làng
Huyện JohnXã, 916449","Tiểu đường","4.59","Duyên Đặng","06/03/2026"
"e0f3eab0-5cec-4eb5-add9-68311ca35cfb","Quang Nguyễn","438956805314","10/12/1952","0719129205","tranjane@example.org","Quận JaneXã
89 Phạm Làng, 847581","Tim mạch","11.98","Thành Đặng","27/02/2026"
"3f76be1d-1efa-4197-b394-988f847fd9b4","Cô Linh Nguyễn","678019349272","22/04/1978","0808875245","johnnguyen@example.org","105 John Khu
JohnXã, 238739","Tiểu đường","3.51","Anh Châu Bùi","25/01/2026"
"5ab33edf-6e59-4ed3-a8b3-17fa18d0752b","Kim Mai Nguyễn","137224928256","07/07/1984","0373330236","nguyenjane@example.net","338 Lê Số
Huyện JaneQuận, 179046","Tim mạch","7.17","Ông Hưng Mai","20/04/2026"
"c0e9ab30-ed26-42e9-97e0-11b7f8102383","Chị Hồng Dương","140935681339","01/07/1970","0390288878","knguyen@example.com","74 Mai Dãy
Quận JaneQuận, 161324","Tim mạch","6.77","Yến Đặng","08/01/2026"
"eb5cf467-80ba-4d64-ba0e-cfea958ca9ba","Cô Phương Trần","658047975450","05/07/1997","0833740730","hoangjohn@example.net","939 John Số
JaneQuận, 802258","Huyết áp cao","11.08","Quang Đức Bùi","18/01/2026"
"50f0fd0a-750c-4b75-8ccc-9bc2a53f8a28","An Dương","529425039943","14/09/1980","0928248025","tranjohn@example.net","354 Jane Khu
Huyện JohnQuận, 377312","Huyết áp cao","7.58","Hà Mai","21/01/2026"
"b7b56ea7-35eb-432d-9ad6-20ab48212ddb","Trung Đức Mai","192499214113","09/01/1971","0391416691","tranjane@example.com","427 Mai Đường
Thành phố JohnXã, 137778","Khỏe mạnh","7.64","Nhiên Trí Bùi","17/01/2026"
"eededb07-e623-4689-9d59-cd2a4eea04e7","Xuân Đặng","677507617662","11/09/1950","0916642905","johndang@example.net","2 John Hẻm
JohnQuận, 872343","Tim mạch","8.11","Huy Hải Vũ","21/01/2026"
"df465290-61ee-411a-9bac-27a7b386f7a4","Ánh Dương","035463214602","06/08/1951","0878693306","tdang@example.org","54 Jane Tổ
JaneThành phố, 220944","Khỏe mạnh","4.97","Phúc Hoàng","07/05/2026"
"98b8e4cc-1bc0-44fc-89cb-394243f59a85","Thành Tấn Bùi","759462376426","12/08/1979","0505683632","buijohn@example.com","883 Bùi Ngõ
JanePhường, 989208","Khỏe mạnh","4.5","Nhật Vũ","08/03/2026"
"6703b636-5380-4904-a88c-7015aab97e49","Tùng Lê","820063222096","13/05/1949","0782256715","nle@example.net","43 Hoàng Tổ
JaneThị xã, 808446","Tiểu đường","4.6","Quý cô Vi Lê","28/03/2026"
"a2086977-a9f2-4336-83f4-a9a948a639d0","Vũ Hải Vũ","152191280718","04/10/1951","0730234085","johnnguyen@example.org","1 Bùi Làng
JaneThị xã, 355836","Tiểu đường","7.07","Cô Hà Bùi","29/01/2026"
"8498e113-b227-462c-b53d-4330cdda24ba","Ông Tùng Phạm","271962940537","03/05/2002","0500781949","duongjohn@example.com","98 Mai Dãy
Thị xã JaneHuyện, 888295","Huyết áp cao","5.74","Bà Vi Mai","05/03/2026"
"13d5f2f7-709b-4d97-864c-04af3d3f3799","Quang Vũ","346050265091","17/11/1959","0763554128","lejohn@example.org","3 Jane Số
JaneThị xã, 165290","Tim mạch","5.71","Quý cô Hồng Hoàng","04/05/2026"
"c3fe0183-e172-4725-9b52-ca5805000bc6","Nhật Văn Đặng","056968108699","27/02/1957","0337730682","ibui@example.net","34 Dương Đường
JanePhường, 812131","Tiểu đường","11.81","Nhật Xuân Dương","01/05/2026"
"06e745f9-88bc-439c-9f4c-3b79fb10987f","Khoa Văn Trần","635831834170","13/04/1982","0597432419","janele@example.org","755 Vũ Số
JohnThị xã, 120324","Tim mạch","9.63","Linh Phạm","27/03/2026"
"0a4e5b70-a6d9-44a3-b510-ab53c7fee39f","Mai Phạm","188516125655","16/08/1996","0800227911","johnle@example.com","45 John Hẻm
JohnXã, 126925","Tim mạch","9.3","Nhiên Bùi","21/02/2026"
"9793b9b4-1374-4146-b2c5-bd89b70b3420","Cô Yến Vũ","826183953143","07/06/1997","0546826436","hoangjohn@example.com","850 Dương Ngõ
JanePhường, 968962","Khỏe mạnh","11.66","Anh Huy Lê","07/04/2026"
